"bbref_id","season","Name","Age","Level","Team","G","PA","AB","R","H","X1B","X2B","X3B","HR","RBI","BB","IBB","uBB","SO","HBP","SH","SF","GDP","SB","CS","BA","OBP","SLG","OPS","wOBA","wOBA_CON","Date"
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",5,11,11,1,4,2,1,0,1,2,0,0,0,3,0,0,0,0,0,0,0.364,0.364,0.727,1.091,0.456,0.627,2023-04-07
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",6,15,14,1,5,3,1,0,1,3,0,0,0,3,0,0,1,0,0,0,0.357,0.333,0.643,0.976,0.393,0.536,2023-04-08
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",7,18,17,1,6,4,1,0,1,4,0,0,0,3,0,0,1,0,0,0,0.353,0.333,0.588,0.922,0.377,0.484,2023-04-09
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",8,19,18,1,6,4,1,0,1,4,0,0,0,3,0,0,1,0,0,0,0.333,0.316,0.556,0.871,0.357,0.452,2023-04-10
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",9,23,21,1,6,4,1,0,1,4,0,0,0,5,1,0,1,0,0,0,0.286,0.304,0.476,0.781,0.326,0.424,2023-04-11
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",9,25,23,1,6,4,1,0,1,4,0,0,0,6,1,0,1,0,0,0,0.261,0.28,0.435,0.715,0.3,0.399,2023-04-12
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",9,24,22,1,6,4,1,0,1,4,0,0,0,6,1,0,1,0,0,0,0.273,0.292,0.455,0.746,0.313,0.424,2023-04-13
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",9,24,22,2,6,3,1,0,2,4,0,0,0,7,1,0,1,0,0,0,0.273,0.292,0.591,0.883,0.359,0.527,2023-04-14
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",10,26,24,2,8,4,2,0,2,4,0,0,0,7,1,0,1,0,0,0,0.333,0.346,0.667,1.013,0.414,0.59,2023-04-15
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",9,24,22,2,8,4,2,0,2,4,0,0,0,6,1,0,1,0,0,0,0.364,0.375,0.727,1.102,0.448,0.627,2023-04-16
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",9,24,22,2,8,4,2,0,2,4,0,0,0,6,1,0,1,0,0,0,0.364,0.375,0.727,1.102,0.448,0.627,2023-04-17
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",8,23,21,1,7,4,2,0,1,3,0,0,0,6,1,0,1,0,0,0,0.333,0.348,0.571,0.919,0.38,0.535,2023-04-18
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",7,19,18,1,6,3,2,0,1,2,0,0,0,6,1,0,0,0,0,0,0.333,0.368,0.611,0.98,0.414,0.595,2023-04-19
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",6,16,15,1,5,2,2,0,1,1,0,0,0,6,1,0,0,0,0,0,0.333,0.375,0.667,1.042,0.436,0.695,2023-04-20
"sosaed01",2023,"Edmundo Sosa",27,"Maj-NL","Philadelphia",6,19,17,1,6,3,2,0,1,2,1,0,1,7,1,0,0,0,0,0,0.353,0.421,0.647,1.068,0.451,0.714,2023-04-21
